Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Propulsio,Nombre
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",048,Autres,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,Combustion Essence,302
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,Combustion Diesel,117
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,Elèctrica,7
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,Hybride,17
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",049,Autres,7
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,Combustion Essence,300
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,Combustion Diesel,136
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,Elèctrica,5
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,Hybride,14
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",050,Autres,4
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,Combustion Essence,295
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,Combustion Diesel,125
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,Elèctrica,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,Hybride,17
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",051,Autres,5
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,Combustion Essence,662
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,Combustion Diesel,306
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,Elèctrica,11
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,Hybride,43
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",052,Autres,11
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,Combustion Essence,378
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,Combustion Diesel,189
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,Elèctrica,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,Hybride,21
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",053,Autres,8
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,Combustion Essence,285
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,Combustion Diesel,101
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,Elèctrica,3
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,Hybride,9
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",054,Autres,6
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,Combustion Essence,315
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,Combustion Diesel,134
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,Elèctrica,21
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,Hybride,26
2023,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",055,Autres,7
2023,02,Eixample,05,el Fort Pienc,001,Combustion Essence,298
2023,02,Eixample,05,el Fort Pienc,001,Combustion Diesel,317
2023,02,Eixample,05,el Fort Pienc,001,Elèctrica,16
2023,02,Eixample,05,el Fort Pienc,001,Hybride,95
2023,02,Eixample,05,el Fort Pienc,001,Autres,15
2023,02,Eixample,05,el Fort Pienc,002,Combustion Essence,486
2023,02,Eixample,05,el Fort Pienc,002,Combustion Diesel,205
2023,02,Eixample,05,el Fort Pienc,002,Elèctrica,6
2023,02,Eixample,05,el Fort Pienc,002,Hybride,47
2023,02,Eixample,05,el Fort Pienc,002,Autres,10
2023,02,Eixample,05,el Fort Pienc,003,Combustion Essence,309
2023,02,Eixample,05,el Fort Pienc,003,Combustion Diesel,120
